datetime,open,high,low,close
2023-07-27 16:00:00,1868.65,1869.22,1855.0,1860.86
2023-07-27 20:00:00,1860.85,1862.31,1854.84,1861.28
2023-07-28 00:00:00,1861.29,1864.99,1860.0,1862.84
2023-07-28 04:00:00,1862.85,1864.72,1856.52,1859.22
2023-07-28 08:00:00,1859.23,1869.04,1858.88,1866.64
2023-07-28 12:00:00,1866.63,1883.39,1866.6,1875.89
2023-07-28 16:00:00,1869.91,1876.97,1869.91,1874.08
2023-07-28 20:00:00,1874.09,1877.7,1872.51,1874.19
2023-07-29 00:00:00,1874.2,1877.0,1873.06,1873.61
2023-07-29 04:00:00,1873.62,1877.09,1871.19,1872.19
2023-07-29 08:00:00,1872.2,1873.68,1869.54,1870.47
2023-07-29 12:00:00,1870.47,1875.79,1870.47,1872.72
2023-07-29 16:00:00,1872.72,1879.34,1871.25,1877.96
2023-07-29 20:00:00,1877.96,1886.58,1877.96,1880.46
2023-07-30 00:00:00,1880.45,1881.52,1877.47,1878.5
2023-07-30 04:00:00,1878.5,1879.44,1873.44,1875.29
2023-07-30 08:00:00,1875.29,1876.88,1872.44,1876.18
2023-07-30 12:00:00,1876.18,1885.3,1871.37,1876.43
2023-07-30 16:00:00,1876.43,1879.21,1857.99,1862.51
2023-07-30 20:00:00,1862.52,1865.78,1848.17,1861.79
2023-07-31 00:00:00,1861.79,1877.4,1861.12,1869.14
2023-07-31 04:00:00,1869.15,1870.01,1862.42,1865.33
2023-07-31 08:00:00,1865.34,1870.0,1864.73,1867.8
2023-07-31 12:00:00,1867.8,1873.21,1856.67,1857.37
2023-07-31 16:00:00,1857.37,1863.12,1854.16,1856.49
2023-07-31 20:00:00,1856.5,1860.81,1851.02,1856.14
2023-08-01 00:00:00,1856.13,1864.7,1815.98,1826.49
2023-08-01 04:00:00,1826.49,1836.23,1821.28,1834.19
2023-08-01 08:00:00,1834.18,1837.37,1830.2,1830.7
2023-08-01 12:00:00,1830.7,1836.39,1813.8,1834.58
2023-08-01 16:00:00,1834.59,1857.46,1829.81,1850.96
2023-08-01 20:00:00,1850.95,1875.62,1846.71,1873.47
2023-08-02 00:00:00,1873.48,1879.74,1863.04,1863.28
2023-08-02 04:00:00,1863.29,1865.0,1856.16,1857.08
2023-08-02 08:00:00,1857.08,1861.01,1853.66,1859.9
2023-08-02 12:00:00,1859.89,1861.0,1834.44,1842.42
2023-08-02 16:00:00,1842.42,1847.53,1821.21,1841.84
2023-08-02 20:00:00,1841.85,1845.58,1837.6,1839.9
2023-08-03 00:00:00,1839.9,1846.07,1837.2,1840.73
2023-08-03 04:00:00,1840.72,1840.98,1832.0,1832.16
2023-08-03 08:00:00,1832.16,1838.78,1826.0,1837.62
2023-08-03 12:00:00,1837.63,1850.0,1833.7,1840.5
2023-08-03 16:00:00,1840.49,1859.12,1839.31,1845.48
2023-08-03 20:00:00,1845.47,1853.7,1831.11,1835.81
2023-08-04 00:00:00,1835.81,1839.07,1828.35,1834.3
2023-08-04 04:00:00,1834.3,1838.27,1831.21,1837.8
2023-08-04 08:00:00,1837.81,1840.58,1833.38,1834.6
2023-08-04 12:00:00,1834.6,1851.31,1831.5,1847.26
2023-08-04 16:00:00,1847.26,1848.57,1827.16,1831.33
2023-08-04 20:00:00,1831.34,1834.2,1815.74,1830.23
2023-08-05 00:00:00,1830.24,1834.02,1827.5,1832.49
2023-08-05 04:00:00,1832.48,1833.97,1828.69,1831.08
2023-08-05 08:00:00,1831.07,1835.0,1830.2,1832.74
2023-08-05 12:00:00,1832.74,1837.09,1830.51,1833.79
2023-08-05 16:00:00,1833.78,1839.0,1830.86,1835.49
2023-08-05 20:00:00,1835.5,1838.35,1834.28,1836.48
2023-08-06 00:00:00,1836.48,1838.58,1833.34,1834.77
2023-08-06 04:00:00,1834.78,1836.81,1832.36,1835.15
2023-08-06 08:00:00,1835.15,1837.86,1828.51,1832.39
2023-08-06 12:00:00,1832.39,1833.01,1825.86,1829.29
2023-08-06 16:00:00,1829.29,1836.06,1828.49,1832.0
2023-08-06 20:00:00,1832.01,1838.05,1828.0,1830.28
2023-08-07 00:00:00,1830.28,1847.0,1826.41,1838.71
2023-08-07 04:00:00,1838.7,1842.39,1832.02,1836.87
2023-08-07 08:00:00,1836.87,1837.39,1832.55,1834.22
2023-08-07 12:00:00,1834.21,1837.3,1813.86,1818.18
2023-08-07 16:00:00,1818.18,1831.33,1802.0,1825.28
2023-08-07 20:00:00,1825.27,1830.68,1823.2,1829.1
2023-08-08 00:00:00,1829.1,1835.41,1826.33,1830.0
2023-08-08 04:00:00,1830.0,1839.2,1829.86,1830.56
2023-08-08 08:00:00,1830.56,1839.31,1830.09,1839.09
2023-08-08 12:00:00,1839.08,1848.96,1835.48,1843.58
2023-08-08 16:00:00,1843.58,1871.43,1843.4,1859.07
2023-08-08 20:00:00,1859.07,1876.51,1854.75,1856.3
2023-08-09 00:00:00,1856.3,1861.02,1852.18,1854.9
2023-08-09 04:00:00,1854.9,1863.25,1853.64,1861.5
2023-08-09 08:00:00,1861.11,1866.25,1858.06,1862.79
2023-08-09 12:00:00,1862.79,1871.99,1851.12,1852.8
2023-08-09 16:00:00,1853.2,1855.0,1846.28,1848.79
2023-08-09 20:00:00,1848.41,1858.75,1847.28,1855.35
2023-08-10 00:00:00,1855.36,1858.02,1852.54,1852.84
2023-08-10 04:00:00,1852.85,1855.48,1849.75,1851.06
2023-08-10 08:00:00,1851.05,1854.66,1849.78,1850.92
2023-08-10 12:00:00,1850.91,1865.95,1848.1,1853.76
2023-08-10 16:00:00,1853.77,1854.27,1845.38,1849.89
2023-08-10 20:00:00,1849.89,1853.25,1849.0,1852.47
2023-08-11 00:00:00,1852.47,1854.8,1842.81,1846.66
2023-08-11 04:00:00,1846.65,1851.17,1846.41,1849.38
2023-08-11 08:00:00,1849.38,1851.72,1845.85,1851.33
2023-08-11 12:00:00,1851.32,1857.26,1843.83,1845.8
2023-08-11 16:00:00,1845.8,1848.92,1838.05,1843.93
2023-08-11 20:00:00,1844.55,1850.99,1843.96,1848.84
2023-08-12 00:00:00,1848.84,1854.01,1847.66,1847.8
2023-08-12 04:00:00,1847.79,1851.46,1847.06,1850.69
2023-08-12 08:00:00,1850.69,1851.49,1848.63,1850.85
2023-08-12 12:00:00,1850.85,1853.67,1850.4,1850.83
2023-08-12 16:00:00,1850.84,1852.68,1847.2,1847.43
2023-08-12 20:00:00,1847.42,1849.94,1846.08,1849.93
2023-08-13 00:00:00,1849.94,1851.55,1849.1,1849.9
2023-08-13 04:00:00,1849.9,1850.01,1846.68,1850.0
2023-08-13 08:00:00,1850.0,1851.28,1849.0,1849.4
2023-08-13 12:00:00,1849.4,1851.85,1847.3,1848.01
2023-08-13 16:00:00,1848.01,1862.0,1846.0,1858.59
2023-08-13 20:00:00,1858.6,1860.19,1834.51,1840.73
2023-08-14 00:00:00,1840.73,1849.01,1835.0,1846.79
2023-08-14 04:00:00,1846.78,1852.2,1846.78,1849.51
2023-08-14 08:00:00,1849.8,1852.25,1846.4,1847.95
2023-08-14 12:00:00,1847.99,1856.5,1844.33,1853.41
2023-08-14 16:00:00,1853.4,1855.68,1841.31,1842.63
2023-08-14 20:00:00,1842.64,1846.4,1841.31,1845.5
2023-08-15 00:00:00,1845.5,1847.36,1843.4,1844.69
2023-08-15 04:00:00,1844.69,1844.91,1840.39,1843.63
2023-08-15 08:00:00,1843.7,1845.16,1839.0,1840.27
2023-08-15 12:00:00,1840.28,1845.71,1838.0,1840.29
2023-08-15 16:00:00,1840.4,1842.02,1814.0,1828.81
2023-08-15 20:00:00,1827.68,1832.0,1825.0,1828.98
2023-08-16 00:00:00,1828.98,1831.52,1827.82,1828.78
2023-08-16 04:00:00,1828.78,1828.97,1818.97,1827.26
2023-08-16 08:00:00,1827.25,1827.51,1819.85,1825.3
2023-08-16 12:00:00,1825.31,1828.31,1818.8,1820.6
2023-08-16 16:00:00,1820.59,1829.22,1816.13,1820.95
2023-08-16 20:00:00,1820.95,1823.08,1798.17,1807.81
2023-08-17 00:00:00,1807.81,1809.99,1780.04,1798.52
2023-08-17 04:00:00,1798.53,1803.52,1797.47,1799.96
2023-08-17 08:00:00,1799.95,1800.04,1784.49,1787.91
2023-08-17 12:00:00,1787.91,1793.0,1726.0,1739.61
2023-08-17 16:00:00,1739.62,1749.0,1726.0,1738.26
2023-08-17 20:00:00,1738.26,1739.6,1550.0,1681.49
2023-08-18 00:00:00,1681.49,1699.4,1672.86,1677.0
2023-08-18 04:00:00,1677.0,1697.28,1662.06,1690.6
2023-08-18 08:00:00,1690.6,1697.0,1678.48,1685.9
2023-08-18 12:00:00,1685.9,1687.19,1653.74,1660.71
2023-08-18 16:00:00,1660.72,1678.57,1641.02,1657.61
2023-08-18 20:00:00,1657.61,1670.0,1656.41,1661.59
2023-08-19 00:00:00,1661.6,1671.64,1656.3,1659.59
2023-08-19 04:00:00,1659.6,1663.55,1654.31,1661.29
2023-08-19 08:00:00,1661.29,1665.92,1659.22,1660.01
2023-08-19 12:00:00,1660.0,1683.92,1658.05,1683.38
2023-08-19 16:00:00,1683.37,1696.72,1674.93,1677.38
2023-08-19 20:00:00,1677.38,1678.2,1663.6,1669.67
2023-08-20 00:00:00,1669.68,1675.19,1665.11,1668.22
2023-08-20 04:00:00,1668.22,1670.33,1662.03,1665.93
2023-08-20 08:00:00,1665.92,1675.85,1663.4,1674.92
2023-08-20 12:00:00,1674.93,1679.76,1664.44,1671.14
2023-08-20 16:00:00,1671.14,1679.79,1665.71,1678.24
2023-08-20 20:00:00,1678.25,1694.75,1678.2,1685.24
2023-08-21 00:00:00,1685.23,1685.66,1675.41,1677.13
2023-08-21 04:00:00,1677.12,1688.59,1669.61,1671.92
2023-08-21 08:00:00,1671.92,1675.19,1660.21,1672.77
2023-08-21 12:00:00,1672.78,1683.95,1649.4,1657.69
2023-08-21 16:00:00,1657.68,1675.2,1656.91,1672.36
2023-08-21 20:00:00,1672.36,1676.94,1666.5,1667.55
2023-08-22 00:00:00,1667.56,1669.38,1661.57,1664.19
2023-08-22 04:00:00,1664.18,1666.97,1661.05,1666.64
2023-08-22 08:00:00,1666.63,1668.03,1660.17,1662.58
2023-08-22 12:00:00,1662.58,1667.37,1645.81,1649.88
2023-08-22 16:00:00,1649.88,1651.29,1619.0,1625.21
2023-08-22 20:00:00,1625.22,1639.83,1580.0,1634.99
2023-08-23 00:00:00,1635.0,1642.47,1629.05,1632.01
2023-08-23 04:00:00,1632.0,1658.09,1630.85,1645.3
2023-08-23 08:00:00,1645.3,1648.95,1639.89,1642.39
2023-08-23 12:00:00,1642.39,1660.0,1634.46,1657.37
2023-08-23 16:00:00,1657.37,1702.11,1655.8,1687.2
2023-08-23 20:00:00,1687.2,1692.78,1660.0,1679.61
2023-08-24 00:00:00,1679.61,1683.37,1672.36,1675.54
2023-08-24 04:00:00,1675.53,1679.0,1672.5,1674.69
2023-08-24 08:00:00,1674.69,1677.86,1666.2,1667.68
2023-08-24 12:00:00,1667.68,1669.79,1642.02,1643.4
2023-08-24 16:00:00,1643.4,1656.53,1635.28,1649.99
2023-08-24 20:00:00,1649.99,1665.28,1643.52,1661.16
2023-08-25 00:00:00,1661.16,1664.28,1645.66,1655.29
2023-08-25 04:00:00,1655.29,1655.8,1646.81,1651.3
2023-08-25 08:00:00,1651.3,1658.96,1651.16,1654.1
2023-08-25 12:00:00,1654.11,1677.22,1636.22,1646.26
2023-08-25 16:00:00,1646.27,1655.65,1635.51,1647.01
2023-08-25 20:00:00,1647.0,1655.0,1645.81,1653.8
2023-08-26 00:00:00,1653.79,1655.59,1651.62,1654.62
2023-08-26 04:00:00,1654.61,1654.77,1650.83,1652.83
2023-08-26 08:00:00,1652.82,1654.01,1646.66,1650.5
2023-08-26 12:00:00,1650.5,1653.0,1646.91,1651.5
2023-08-26 16:00:00,1651.51,1652.0,1644.0,1646.22
2023-08-26 20:00:00,1646.21,1650.5,1645.26,1647.04
2023-08-27 00:00:00,1647.03,1650.5,1646.32,1647.28
2023-08-27 04:00:00,1647.27,1655.28,1647.27,1648.45
2023-08-27 08:00:00,1648.45,1652.69,1647.38,1649.31
2023-08-27 12:00:00,1649.31,1659.85,1648.43,1655.44
2023-08-27 16:00:00,1655.44,1660.24,1650.05,1655.89
2023-08-27 20:00:00,1655.9,1659.0,1651.19,1658.33
2023-08-28 00:00:00,1658.33,1658.33,1648.06,1649.9
2023-08-28 04:00:00,1649.89,1651.76,1636.09,1641.47
2023-08-28 08:00:00,1641.47,1643.5,1621.75,1640.31
2023-08-28 12:00:00,1640.32,1664.34,1640.03,1648.91
2023-08-28 16:00:00,1648.92,1654.96,1637.88,1646.72
2023-08-28 20:00:00,1646.73,1657.26,1644.26,1653.08
2023-08-29 00:00:00,1653.08,1662.32,1650.75,1652.45
2023-08-29 04:00:00,1652.46,1653.62,1644.98,1647.48
2023-08-29 08:00:00,1647.48,1647.95,1640.0,1642.21
2023-08-29 12:00:00,1642.2,1736.5,1640.27,1714.99
2023-08-29 16:00:00,1715.0,1745.84,1708.91,1735.28
2023-08-29 20:00:00,1735.28,1742.29,1721.82,1729.42
2023-08-30 00:00:00,1729.41,1730.93,1712.76,1718.62
2023-08-30 04:00:00,1718.62,1722.2,1716.13,1717.61
2023-08-30 08:00:00,1717.6,1720.55,1711.19,1716.2
2023-08-30 12:00:00,1716.2,1722.23,1694.34,1703.61
2023-08-30 16:00:00,1703.61,1705.21,1695.93,1701.55
2023-08-30 20:00:00,1701.56,1708.34,1701.27,1705.23
2023-08-31 00:00:00,1705.23,1705.23,1697.29,1699.16
2023-08-31 04:00:00,1699.17,1707.32,1699.16,1706.41
2023-08-31 08:00:00,1706.42,1729.0,1703.75,1713.7
2023-08-31 12:00:00,1713.69,1714.08,1677.51,1689.0
2023-08-31 16:00:00,1689.0,1689.01,1643.12,1657.12
2023-08-31 20:00:00,1657.12,1657.36,1630.0,1645.76
2023-09-01 00:00:00,1645.77,1654.53,1645.23,1652.2
2023-09-01 04:00:00,1652.21,1653.21,1643.45,1646.26
2023-09-01 08:00:00,1646.27,1648.51,1641.15,1646.89
2023-09-01 12:00:00,1646.88,1652.3,1622.01,1634.86
2023-09-01 16:00:00,1634.87,1637.48,1602.33,1619.23
2023-09-01 20:00:00,1619.23,1638.09,1616.24,1629.12
2023-09-02 00:00:00,1629.13,1634.42,1628.03,1632.46
2023-09-02 04:00:00,1632.45,1636.56,1630.22,1631.7
2023-09-02 08:00:00,1631.7,1636.95,1630.18,1634.66
2023-09-02 12:00:00,1634.67,1645.0,1633.33,1638.79
2023-09-02 16:00:00,1638.8,1640.81,1628.21,1633.61
2023-09-02 20:00:00,1633.61,1639.67,1632.94,1637.03
2023-09-03 00:00:00,1637.02,1637.38,1631.72,1636.18
2023-09-03 04:00:00,1636.19,1639.2,1634.01,1635.59
2023-09-03 08:00:00,1635.58,1636.09,1631.06,1634.39
2023-09-03 12:00:00,1634.38,1641.08,1628.17,1633.15
2023-09-03 16:00:00,1633.14,1643.36,1625.14,1639.01
2023-09-03 20:00:00,1639.0,1647.5,1633.38,1635.84
2023-09-04 00:00:00,1635.84,1644.82,1632.3,1637.68
2023-09-04 04:00:00,1637.69,1640.41,1634.41,1638.97
2023-09-04 08:00:00,1638.97,1640.69,1631.14,1632.15
2023-09-04 12:00:00,1632.15,1635.0,1618.6,1626.21
2023-09-04 16:00:00,1626.21,1635.91,1625.51,1631.34
2023-09-04 20:00:00,1631.35,1632.8,1616.32,1630.51
2023-09-05 00:00:00,1630.52,1631.32,1609.69,1618.18
2023-09-05 04:00:00,1618.19,1627.94,1618.17,1625.01
2023-09-05 08:00:00,1625.02,1638.74,1620.84,1635.55
2023-09-05 12:00:00,1635.56,1648.02,1625.96,1636.62
2023-09-05 16:00:00,1636.62,1643.45,1632.22,1632.37
2023-09-05 20:00:00,1632.36,1634.46,1626.91,1634.45
2023-09-06 00:00:00,1634.46,1640.31,1631.68,1633.49
2023-09-06 04:00:00,1633.49,1633.8,1627.92,1629.41
2023-09-06 08:00:00,1629.41,1636.36,1628.63,1632.71
2023-09-06 12:00:00,1632.71,1635.65,1619.56,1623.44
2023-09-06 16:00:00,1623.44,1670.0,1609.2,1631.26
2023-09-06 20:00:00,1631.27,1635.04,1627.61,1633.15
2023-09-07 00:00:00,1633.15,1640.11,1631.8,1640.1
2023-09-07 04:00:00,1640.1,1642.47,1635.33,1635.84
2023-09-07 08:00:00,1635.83,1635.84,1626.1,1627.32
2023-09-07 12:00:00,1627.32,1633.89,1623.4,1630.52
2023-09-07 16:00:00,1630.52,1641.18,1629.74,1637.3
2023-09-07 20:00:00,1637.29,1660.0,1635.72,1648.11
2023-09-08 00:00:00,1648.11,1658.93,1643.88,1646.52
2023-09-08 04:00:00,1646.52,1654.04,1643.16,1646.88
2023-09-08 08:00:00,1646.88,1647.59,1616.21,1626.02
2023-09-08 12:00:00,1626.02,1634.72,1624.44,1628.62
2023-09-08 16:00:00,1628.61,1635.17,1624.65,1634.6
