datetime,open,high,low,close
2023-09-23,26580.14062,26632.80078,26515.019531,26575.96094
2023-09-24,26575.9707,26724.99023,26157.25977,26246.4707
2023-09-25,26222.51953,26423.93945,26013.25977,26304.81055
2023-09-26,26307.73047,26397.46094,26095.029297,26221.66992
2023-09-27,26217.49023,26841.099609,26112.21094,26369.99023
2023-09-28,26372.99023,27286.99023,26344.68945,27021.39062
2023-09-29,27026.78906,27229.019531,26727.4707,26909.58008
2023-09-30,26906.96094,27082.40039,26886.32031,26962.56055
2023-10-01,26962.56055,28033.17969,26954.099609,27967.46094
2023-10-02,27982.69922,28549.13086,27293.070312,27497.74023
2023-10-03,27510.0,27671.58984,27202.31055,27428.019531
2023-10-04,27412.78906,27833.0097656,27238.94922,27788.71094
2023-10-05,27778.56055,28087.2793,27370.64062,27409.88086
2023-10-06,27412.099609,28236.56055,27191.7793,27931.089844
2023-10-07,27934.59961,28018.13086,27854.59961,27956.66016
2023-10-08,27956.66992,28095.0,27712.14062,27919.42969
2023-10-09,27915.51953,27982.75977,27268.49023,27577.48047
2023-10-10,27584.90039,27723.99023,27300.0097656,27389.17969
2023-10-11,27390.11914,27475.0,26559.99023,26878.5
2023-10-12,26873.35938,26944.99023,26569.99023,26761.28906
2023-10-13,26751.58984,27115.31055,26685.0,26861.99023
2023-10-14,26860.55078,26975.0,26804.81055,26852.48047
2023-10-15,26852.48047,27284.99023,26812.64062,27154.14062
2023-10-16,27142.029297,29952.36914,27112.66992,28503.71094
2023-10-17,28500.76953,28603.63086,28089.40039,28400.39062
2023-10-18,28394.83008,28875.63086,28168.75977,28320.0
2023-10-19,28315.0097656,28880.0,28170.0,28717.82031
2023-10-20,28707.83008,30166.55078,28580.36914,29669.039062
2023-10-21,29664.63086,30257.25,29464.76953,29909.78906
2023-10-22,29902.0097656,30186.68945,29706.60938,29981.48047
2023-10-23,29998.99023,34321.60156,29889.86914,33026.69922
2023-10-24,33096.60156,35238.35938,32870.82812,33919.10156
2023-10-25,33909.87109,35126.5,33700.89062,34494.41016
2023-10-26,34480.67969,34819.98828,33751.019531,34151.66016
2023-10-27,34127.19141,34244.98828,33411.25,33898.44141
