utc_time,asset,timeframe,close,trend,rsi,atr,atr_pct,regime,entropy,adx
2026-08-06 12:05,ETH-USD,4h,1904.37,UP,58.5,22.07,1.16,Ranging,1.927,13.4
2026-08-06 12:05,SOL-USD,4h,73.42,DOWN,47.1,0.82,1.12,Chaotic,1.975,11.8
2026-08-07 06:45,BTC-USD,4h,64353.50,UP,53.8,506.91,0.79,Ranging,1.885,18.7
2026-08-07 06:45,ETH-USD,4h,1904.66,UP,57.1,21.06,1.11,Ranging,1.907,10.7
2026-08-07 06:45,SOL-USD,4h,72.93,DOWN,43.9,0.82,1.13,Chaotic,1.976,17.1
2026-08-07 08:05,BTC-USD,4h,64319.95,UP,53.2,472.13,0.73,Ranging,1.875,17.9
2026-08-07 08:05,ETH-USD,4h,1903.41,UP,56.7,19.66,1.03,Ranging,1.902,9.9
2026-08-07 08:05,SOL-USD,4h,72.95,DOWN,44.2,0.77,1.05,Chaotic,1.975,17.9
2026-08-07 12:05,BTC-USD,4h,65037.95,UP,63.9,501.20,0.77,Ranging,1.873,20.4
2026-08-07 12:05,ETH-USD,4h,1918.74,UP,62.2,19.69,1.03,Ranging,1.902,11.0
2026-08-07 12:05,SOL-USD,4h,73.70,MIXED,52.8,0.78,1.05,Chaotic,1.977,15.5
2026-08-10 06:32,BTC-USD,4h,65042.54,UP,57.2,359.85,0.55,Ranging,1.720,18.1
2026-08-10 06:32,ETH-USD,4h,1920.21,UP,56.5,15.20,0.79,Ranging,1.824,16.2
2026-08-10 06:32,SOL-USD,4h,76.77,UP,63.8,0.82,1.07,Chaotic,1.981,28.9
2026-08-10 08:05,BTC-USD,4h,65309.09,UP,62.4,360.26,0.55,Ranging,1.706,17.3
2026-08-10 08:05,ETH-USD,4h,1928.20,UP,60.6,14.98,0.78,Ranging,1.817,15.2
2026-08-10 08:05,SOL-USD,4h,77.08,UP,65.7,0.79,1.02,Chaotic,1.979,28.9
2026-08-10 12:05,BTC-USD,4h,65206.26,UP,59.8,361.41,0.55,Ranging,1.694,16.5
2026-08-10 12:05,ETH-USD,4h,1922.57,UP,56.8,14.93,0.78,Ranging,1.810,14.2
2026-08-10 12:05,SOL-USD,4h,77.02,UP,65.1,0.78,1.01,Chaotic,1.978,29.0
2026-08-11 06:15,BTC-USD,4h,64034.72,MIXED,38.5,398.68,0.62,Ranging,1.648,23.3
2026-08-11 06:15,ETH-USD,4h,1874.16,MIXED,36.8,16.53,0.88,Ranging,1.785,24.0
2026-08-11 06:15,SOL-USD,4h,76.00,UP,53.5,0.78,1.03,Chaotic,1.972,21.7
2026-08-11 08:05,BTC-USD,4h,64100.00,MIXED,39.8,380.06,0.59,Ranging,1.629,24.6
2026-08-11 08:05,ETH-USD,4h,1878.92,MIXED,38.7,15.58,0.83,Trending,1.774,25.5
2026-08-11 08:05,SOL-USD,4h,75.76,UP,51.1,0.75,1.00,Chaotic,1.970,20.6
2026-08-11 12:05,BTC-USD,4h,64422.23,MIXED,46.9,378.22,0.59,Ranging,1.623,23.5
2026-08-11 12:05,ETH-USD,4h,1893.94,MIXED,46.8,15.86,0.84,Ranging,1.768,23.7
2026-08-11 12:05,SOL-USD,4h,76.16,UP,54.5,0.75,0.99,Chaotic,1.970,18.9
2026-08-12 06:27,BTC-USD,4h,63635.99,DOWN,38.2,417.24,0.66,Trending,1.591,28.1
2026-08-12 06:27,ETH-USD,4h,1886.58,MIXED,46.4,17.02,0.90,Trending,1.752,26.8
2026-08-12 06:27,SOL-USD,4h,76.19,UP,53.6,0.81,1.06,Chaotic,1.966,16.5
2026-08-12 08:05,BTC-USD,4h,63841.59,MIXED,41.1,393.99,0.62,Trending,1.579,28.4
2026-08-12 08:05,ETH-USD,4h,1892.98,MIXED,49.2,15.99,0.84,Trending,1.743,26.7
2026-08-12 08:05,SOL-USD,4h,76.33,UP,54.8,0.77,1.01,Chaotic,1.964,16.0
2026-08-12 12:05,BTC-USD,4h,64247.35,MIXED,49.1,395.80,0.62,Trending,1.578,26.1
2026-08-12 12:05,ETH-USD,4h,1916.01,UP,57.5,16.60,0.87,Ranging,1.743,23.7
2026-08-12 12:05,SOL-USD,4h,76.93,UP,59.1,0.77,1.00,Chaotic,1.964,14.9
2026-08-13 09:03,BTC-USD,4h,63747.41,MIXED,44.5,421.24,0.66,Ranging,1.582,23.8
2026-08-13 09:03,ETH-USD,4h,1888.65,MIXED,48.2,17.74,0.94,Ranging,1.763,18.5
2026-08-13 09:03,SOL-USD,4h,76.19,UP,52.5,0.80,1.05,Chaotic,1.970,13.4
2026-08-13 12:05,BTC-USD,4h,63467.38,DOWN,40.6,419.60,0.66,Ranging,1.592,23.8
2026-08-13 12:05,ETH-USD,4h,1879.37,MIXED,45.1,17.42,0.93,Ranging,1.771,16.5
2026-08-13 12:05,SOL-USD,4h,75.68,UP,48.3,0.79,1.04,Chaotic,1.972,13.9
2026-08-15 09:25,BTC-USD,4h,62967.93,DOWN,36.7,385.61,0.61,Trending,1.614,30.4
2026-08-15 09:25,ETH-USD,4h,1877.81,MIXED,44.9,14.38,0.77,Ranging,1.754,20.4
2026-08-15 09:25,SOL-USD,4h,75.17,DOWN,44.1,0.69,0.91,Chaotic,1.971,22.8
2026-08-15 12:05,BTC-USD,4h,63009.11,DOWN,37.5,358.99,0.57,Trending,1.615,30.7
2026-08-15 12:05,ETH-USD,4h,1879.27,MIXED,45.7,13.39,0.71,Ranging,1.752,20.8
2026-08-15 12:05,SOL-USD,4h,75.22,DOWN,44.6,0.65,0.86,Chaotic,1.969,23.6
2026-08-17 06:21,BTC-USD,4h,63572.44,MIXED,57.0,315.22,0.50,Trending,1.593,25.8
2026-08-17 06:21,ETH-USD,4h,1900.85,UP,60.0,12.61,0.66,Ranging,1.725,18.1
2026-08-17 06:21,SOL-USD,4h,75.51,MIXED,50.1,0.63,0.83,Trending,1.945,26.3
2026-08-17 08:05,BTC-USD,4h,63493.69,DOWN,55.1,303.34,0.48,Ranging,1.597,24.3
2026-08-17 08:05,ETH-USD,4h,1898.47,UP,58.1,12.48,0.66,Ranging,1.727,18.0
2026-08-17 08:05,SOL-USD,4h,75.76,UP,52.7,0.61,0.81,Ranging,1.944,24.9
2026-08-17 12:05,BTC-USD,4h,63661.43,MIXED,59.0,314.09,0.49,Ranging,1.599,22.8
2026-08-17 12:05,ETH-USD,4h,1906.71,UP,63.1,12.71,0.67,Ranging,1.726,16.6
2026-08-17 12:05,SOL-USD,4h,75.67,MIXED,51.7,0.62,0.82,Trending,1.943,25.2
2026-08-18 05:12,BTC-USD,4h,64265.71,UP,64.0,375.40,0.58,Ranging,1.634,22.9
2026-08-18 05:12,ETH-USD,4h,1897.94,UP,53.0,14.25,0.75,Ranging,1.735,15.4
2026-08-18 05:12,SOL-USD,4h,75.90,UP,53.1,0.66,0.87,Ranging,1.944,23.8
2026-08-18 08:05,BTC-USD,4h,64156.02,UP,61.8,363.72,0.57,Ranging,1.642,22.4
2026-08-18 08:05,ETH-USD,4h,1896.54,UP,52.0,13.97,0.74,Ranging,1.736,14.8
2026-08-18 08:05,SOL-USD,4h,75.98,UP,53.6,0.65,0.85,Ranging,1.945,23.1
2026-08-18 12:05,BTC-USD,4h,64307.82,UP,64.1,358.11,0.56,Ranging,1.648,22.0
2026-08-18 12:05,ETH-USD,4h,1901.81,UP,54.8,13.66,0.72,Ranging,1.737,14.2
2026-08-18 12:05,SOL-USD,4h,76.45,UP,58.3,0.64,0.84,Ranging,1.944,22.0
2026-08-19 05:23,BTC-USD,4h,64324.61,UP,57.7,385.08,0.60,Ranging,1.681,23.8
2026-08-19 05:23,ETH-USD,4h,1911.32,UP,57.1,14.04,0.73,Ranging,1.749,13.8
2026-08-19 05:23,SOL-USD,4h,76.92,UP,60.4,0.66,0.85,Ranging,1.949,18.7
2026-08-19 08:05,BTC-USD,4h,64297.21,UP,57.1,366.32,0.57,Ranging,1.687,22.5
2026-08-19 08:05,ETH-USD,4h,1916.06,UP,59.5,13.79,0.72,Ranging,1.748,13.8
2026-08-19 08:05,SOL-USD,4h,76.95,UP,60.8,0.63,0.82,Ranging,1.948,18.0
2026-08-19 12:05,BTC-USD,4h,64488.16,UP,60.0,360.68,0.56,Ranging,1.692,22.4
2026-08-19 12:05,ETH-USD,4h,1923.52,UP,62.9,13.83,0.72,Ranging,1.747,15.0
2026-08-20 05:04,BTC-USD,4h,69505.40,UP,84.5,796.48,1.15,Trending,1.711,39.4
2026-08-20 05:04,ETH-USD,4h,2252.61,UP,92.6,41.26,1.83,Trending,1.756,36.5
2026-08-20 05:04,SOL-USD,4h,84.91,UP,82.2,1.31,1.54,Trending,1.945,37.2
2026-08-20 08:05,BTC-USD,4h,69842.66,UP,85.3,775.35,1.11,Trending,1.721,42.2
2026-08-20 08:05,ETH-USD,4h,2249.78,UP,91.9,39.82,1.77,Trending,1.758,40.3
2026-08-20 08:05,SOL-USD,4h,86.12,UP,83.7,1.31,1.52,Trending,1.944,40.4
