strategy,fingerprint,commit,asset,timeframe,train_end,run_date,trade_no,window,direction,entry_time,entry_price_raw,entry_price_fill,exit_time,exit_price_raw,exit_price_fill,exit_reason,bars_held,atr_at_entry,stop_loss,take_profit,size_units,position_value,equity_at_entry,gross_pnl,fees_paid,slippage_paid,costs_paid,net_pnl,return_pct,gross_return_pct,equity_after,regime_at_entry,regime_adx,regime_entropy
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,11,train,short,2024-04-13 16:00:00,67675.99,67642.15200500001,2024-04-13 16:00:00,65105.376290714295,65137.92897885965,target,1,1268.3878571428565,69544.7337907143,65105.376290714295,0.037614028618005696,2544.293841299562,10177.175365198247,96.69113762691046,4.994393766028012,2.4972210557981214,7.491614821826134,89.19952280508433,0.008764664025551726,0.009500783287822117,10266.37488800333,Chaotic,27.053559276229564,1.9917443487849527
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,12,train,long,2024-04-21 12:00:00,65234.02,65266.63700999999,2024-04-25 08:00:00,63490.21272428571,63458.46761792357,stop,24,1184.282857142857,63490.21272428571,67635.2027242857,0.03932474292505045,2566.5937220008327,10266.37488800333,-68.57477282829691,5.062081647493316,2.531023680053167,7.593105327546483,-76.1678781558434,-0.00741916002354917,-0.006679550822601391,10190.207009847487,Trending,26.378536614369363,1.9239223991729415
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,13,train,short,2024-04-27 00:00:00,63770.0,63738.115000000005,2024-04-29 04:00:00,61934.78071428572,61965.74810464286,target,14,901.6671428571426,65090.61571428572,61934.78071428572,0.039969047601452784,2547.5517524618717,10190.207009847487,73.35196698981824,5.024263688115974,2.5121501820493535,7.536413870165328,65.8155531196529,0.006458706192725121,0.007198280360637744,10256.02256296714,Chaotic,22.61825827082579,1.9627549135284423
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,14,train,long,2024-05-05 16:00:00,64428.64,64460.85432,2024-05-06 16:00:00,62848.07253428571,62816.64849801857,stop,7,1075.1878571428574,62848.07253428571,66611.23003428572,0.039776165981502694,2564.005640741785,10256.02256296714,-62.868913861214594,5.0626110778006845,2.5312898216717628,7.593900899472447,-70.46281476068704,-0.006870384140448073,-0.006129950814287812,10185.559748206453,Chaotic,31.795667251126805,1.9807270112288111
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,15,train,short,2024-05-10 16:00:00,60928.02,60897.55599,2024-05-13 04:00:00,62365.65206142857,62396.83488745928,stop,16,978.7307142857135,62365.65206142857,58940.094561428574,0.041814320717070426,2546.3899370516133,10185.559748206453,-60.11360808971742,5.155471202765924,2.5777205729805246,7.733191775746449,-67.84679986546386,-0.006661077205640153,-0.005901846297676734,10117.71294834099,Chaotic,18.87187784882301,1.9690666248145168
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,16,train,long,2024-05-15 12:00:00,62467.18,62498.41359,2024-05-15 12:00:00,64180.69501857143,64148.604671062145,target,1,841.1407142857154,61236.70251857142,64180.69501857143,0.04047187907326285,2529.4282370852475,10117.71294834099,69.34917262184267,5.12564280805102,2.562838741318501,7.688481549369521,61.66069107247315,0.006094330940925113,0.006854234052292807,10179.373639413463,Chaotic,14.597098800603153,1.983492150181673
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,17,train,short,2024-05-26 16:00:00,68847.98,68813.55601,2024-05-27 12:00:00,69824.52708142858,69859.43934496929,stop,6,673.9807142857161,69824.52708142858,67465.59458142857,0.03698171635663689,2544.8434098533658,10179.373639413463,-36.114387174293334,5.128365380542699,2.564173661674282,7.692539042216981,-43.80692621651031,-0.004303499190450629,-0.003547800528164349,10135.566713196953,Ranging,15.830120287350331,1.9571933166322228
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,18,train,long,2024-05-27 16:00:00,70373.86,70409.04693,2024-05-27 16:00:00,69373.55192999999,69338.865154035,stop,1,690.3300000000017,69373.55192999999,71789.70693,0.03598815477247418,2533.8916782992383,10135.566713196953,-35.99924164331543,5.029269489210367,2.5146257447942943,7.543895234004661,-43.54313687732009,-0.004296073234920847,-0.0035517739325264205,10092.023576319632,Chaotic,13.733548590785132,1.9602004685742709
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,19,train,short,2024-05-28 08:00:00,67694.01,67660.16299499999,2024-05-30 16:00:00,68993.37799499999,69027.87468399748,stop,15,888.8099999999997,68993.37799499999,65882.542995,0.03728938539900289,2523.005894079908,10092.023576319632,-48.45263394068441,5.097012916445565,2.5484943450640216,7.645507261509587,-56.09814120219399,-0.005558661330699339,-0.004801082119385432,10035.925435117439,Chaotic,14.238523817413562,1.9711659465711082
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,20,train,long,2024-06-04 08:00:00,69012.92188,69047.42834094,2024-06-04 16:00:00,70495.43726629714,70460.189547664,target,3,724.0044626785717,67961.42164692214,70495.43726629714,0.03633707176450655,2508.9813587793597,10035.925435117439,53.87026798386466,5.069298322913561,2.53466262902338,7.603960951936941,46.26630703192772,0.004610068830327685,0.005367742948284896,10082.191742149367,Chaotic,21.72344200806918,1.9802657005275202
