strategy,fingerprint,commit,asset,timeframe,train_end,run_date,trade_no,window,direction,entry_time,entry_price_raw,entry_price_fill,exit_time,exit_price_raw,exit_price_fill,exit_reason,bars_held,atr_at_entry,stop_loss,take_profit,size_units,position_value,equity_at_entry,gross_pnl,fees_paid,slippage_paid,costs_paid,net_pnl,return_pct,gross_return_pct,equity_after,regime_at_entry,regime_adx,regime_entropy
con-artist-curve-fit-p6,b34d03e8e04f,01851d3,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,1,train,short,2024-01-03 12:00:00,43702.89,43681.038555,2024-01-03 12:00:00,42192.068555,42213.1645892775,target,1,744.485,44797.766055,42192.068555,0.057233071435611155,2500.0,10000.0,86.46895168813835,4.91598906446133,2.458016149468577,7.374005213929907,79.09494647420844,0.007909494647420844,0.008646895168813834,10079.094946474208,Unavailable,,
con-artist-curve-fit-p6,b34d03e8e04f,01851d3,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,2,train,long,2024-01-03 16:00:00,43000.01,43021.510005,2024-01-08 12:00:00,44888.590005,44866.1457099975,target,30,933.5399999999998,41621.200005,44888.590005,0.05857009055065017,2519.773736618552,10079.094946474208,110.61430190499712,5.147587953511771,2.5738216303308405,7.721409583842611,102.8928923211545,0.010208544801648853,0.010974626441403984,10181.987838795363,Unavailable,,
con-artist-curve-fit-p6,b34d03e8e04f,01851d3,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,3,train,short,2024-01-08 16:00:00,44963.04,44940.55848000001,2024-01-08 16:00:00,45778.215265714294,45801.10437334715,stop,1,558.437857142857,45778.215265714294,43823.68276571429,0.056641418037376386,2545.496959698841,10181.987838795363,-46.17268299905266,5.139736459083105,2.569856686370521,7.709593145453626,-53.882276144506285,-0.00529192108629361,-0.004534741519050506,10128.105562650857,Unavailable,,
con-artist-curve-fit-p6,b34d03e8e04f,01851d3,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,4,train,short,2024-01-08 20:00:00,46979.36,46955.87032,2024-01-09 12:00:00,45519.68032,45542.44016016,target,5,718.0949999999996,48033.01282,45519.68032,0.053923532316772826,2532.026390662714,10128.105562650857,78.71108439661668,4.987835634423795,2.493937494982788,7.481773129406583,71.22931126721011,0.007032836578034942,0.007771550554022406,10199.334873918067,Unavailable,,
con-artist-curve-fit-p6,b34d03e8e04f,01851d3,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,5,train,short,2024-01-09 16:00:00,46868.08,46844.64596,2024-01-09 20:00:00,45102.04596,45124.59698298,target,2,871.2999999999998,48151.59596,45102.04596,0.05443170006358432,2549.833718479517,10199.334873918067,96.12823516735999,5.006042246947206,2.5030451555323054,7.509087402479511,88.61914776488048,0.00868871831941699,0.009424951367483867,10287.954021682948,Unavailable,,
con-artist-curve-fit-p6,b34d03e8e04f,01851d3,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,6,train,long,2024-01-10 08:00:00,45775.98828,45798.87627414,2024-01-11 12:00:00,47926.32627414,47902.36311100294,target,8,1063.7250000000006,44203.28877414,47926.32627414,0.056158332139537484,2571.988505420737,10287.954021682948,120.75939528718122,5.262105323277169,2.6310828514871645,7.893188174764333,112.86620711241689,0.0109707145730375,0.011737940802677389,10400.820228795365,Unavailable,,
con-artist-curve-fit-p6,b34d03e8e04f,01851d3,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,7,train,short,2024-01-11 16:00:00,46783.77,46760.378115,2024-01-12 16:00:00,44115.38240071428,44137.440091914636,target,7,1322.4978571428578,48744.12490071428,44115.38240071428,0.05243018062433993,2451.6550706318817,10400.820228795365,139.90404380629877,4.7657890269469485,2.3829294894840416,7.14871851643099,132.75532528986778,0.012763928456558245,0.013451251029122212,10533.575554085231,Unavailable,,
con-artist-curve-fit-p6,b34d03e8e04f,01851d3,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,8,train,short,2024-01-12 20:00:00,43472.56,43450.82372,2024-01-18 16:00:00,40835.20800571429,40855.62560971714,target,36,1307.807857142857,45412.53550571429,40835.20800571429,0.05369583661980093,2333.128331464891,10533.575554085231,141.6148217940716,4.526905329204017,2.26348806830714,6.790393397511157,134.82442839656042,0.012799493173452534,0.0134441359505082,10668.399982481791,Unavailable,,
con-artist-curve-fit-p6,b34d03e8e04f,01851d3,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,9,train,short,2024-01-19 12:00:00,41475.37,41454.632315,2024-01-19 16:00:00,40350.102315000004,40370.277366157505,target,2,552.2649999999994,42283.029815,40350.102315000004,0.06433780368268713,2667.0999956204478,10668.399982481791,72.39725140800175,5.264434975419918,2.632235587022876,7.896670562442794,64.50058084555896,0.00604594699781346,0.006786139582963028,10732.90056332735,Chaotic,40.965728169593596,1.9658785912691326
con-artist-curve-fit-p6,b34d03e8e04f,01851d3,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,10,train,short,2024-01-19 20:00:00,41814.27,41793.362864999996,2024-01-22 08:00:00,40420.724293571424,40440.93465571821,target,16,686.3192857142848,42822.841793571424,40420.724293571424,0.06420218323897822,2683.2251408318375,10732.90056332735,89.46867679601858,5.279621437953803,2.6398330861460124,7.919454524099815,81.54922227191877,0.0075980599830170565,0.008335927111979322,10814.449785599269,Chaotic,41.84759359931526,1.9663324361427796
